DATE				SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat
DD-HH				BACK	-94.21	57.71		FSIM	-121.23	61.76		FSMI	-111.95	60.02		GILL	-94.64	56.38		GULL	-108.26	50.06		MCMU	-111.21	56.66		PINA	-96.04	50.2		RANK	-92.11	62.82		THRF	-96.36	48.03		WGRY	-120.03	51.88		BLC	-96.01	64.32		IQA	-68.52	63.75		MEA	-113.35	54.62		OTT	-75.55	45.4		RES	-94.89	74.69		STJ	-52.68	47.6		VIC	-123.42	48.52

				max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)
01-01				80.96				60.73				70.45				79.31				25.61				43.89				27.25				139.54				162.24				29.39				115.67				503.04								30.13				91.01				33.97				19.76
01-02				56.5				45.27				58.04				47.11				12.66				33.29				14.0				123.66				150.96				20.17				136.08				174.48								14.53				57.96				14.28				16.45
01-03				20.47				24.45				22.3				21.63				12.15				15.45				7.54				47.04				146.11				9.58				45.13				58.56								6.07				70.82				5.38				11.19
01-04				15.02				17.78				13.78				14.13				6.45				12.19				7.98				30.45				145.41				12.81				30.9				31.1								5.29				34.46				4.6				8.21
01-05				8.41				12.14				8.23				9.21				6.72				8.5				8.24				16.18				137.76				8.46				12.08				34.47								4.68				23.19				4.17				5.61
01-06				8.78				7.49				7.29				4.76				2.68				12.03				4.45				10.34				139.71				5.1				9.86				12.55								2.16				17.06				2.57				2.1
01-07				6.61				8.51				7.88				3.72				2.7				9.01				3.38				7.75				153.03				10.36				7.2				28.16								3.7				12.15				3.81				3.22
01-08				6.04				13.01				6.79				5.07				3.92				7.42				7.3				8.41				135.31				11.77				6.16				13.63								4.47				12.57				5.71				3.65
01-09				8.79				13.73				6.0				6.41				2.7				6.96				13.74				12.33				348.41				7.82				8.9				42.39								4.34				24.6				12.57				3.59
01-10				20.24				25.16				18.17				21.22				6.96				10.81				21.75				25.54				121.49				10.24				18.34				53.32								8.06				37.15				15.07				6.04
01-11				15.22				65.96				39.56				45.12				17.58				23.55				28.87				62.43				130.17				19.21				47.5				65.85								12.86				60.44				17.85				15.22
01-12				12.07				39.88				30.03				22.77				14.89				17.47				19.9				42.84				124.26				16.18				54.04				73.61								8.89				107.63				10.39				12.07
01-13				30.1				43.23				29.3				31.37				11.11				21.38				9.11				68.48				140.3				13.61				73.46				59.91								13.03				108.25				20.17				9.91
01-14				17.61				18.88				19.22				14.25				7.88				11.05				25.71				38.54				122.42				4.23				71.31				33.14								13.65				71.77				14.33				3.49
01-15				57.45				51.36				40.18				63.69				30.29				29.49				29.74				60.37				136.49				25.64				80.25				61.58								22.65				90.78				19.09				19.23
01-16				47.94				40.31				35.56				52.05				25.95				28.58				26.92				49.04				123.64				23.72				51.99				55.2								26.0				113.81				15.66				17.31
01-17				49.05				42.88				35.57				54.78				25.8				26.5				32.39				52.94				129.19				22.31				60.97				77.99								32.66				134.75				19.94				14.8
01-18				98.91				67.5				66.58				114.46				48.3				60.72				43.71				84.59				140.71				40.76				98.25				108.44								20.64				255.55				18.48				32.64
01-19				20.31				46.29				34.43				51.79				30.99				31.45				21.04				45.37				132.79				24.86				49.82				76.83								11.76				179.5				17.02				20.31
01-20				11.2				54.52				60.69				75.7				22.38				26.38				24.78				114.75				137.84				16.03				127.52				141.27								20.79				326.34				24.18				11.2
01-21				68.08				51.98				48.72				76.73				19.76				38.97				28.46				106.73				135.22				24.18				115.63				136.56								28.87				271.88				31.31				18.34
01-22				70.83				68.67				56.02				89.71				25.09				45.22				33.06				120.06				117.37				30.73				140.46				144.7								27.24				272.37				21.0				17.64
01-23				70.83				81.85				64.47				85.23				31.42				42.63				45.02				79.22				136.56				33.28				77.65				96.76								23.09				94.55				19.6				21.89
01-24				44.39				57.82				45.48				51.05				23.91				28.95				29.17				36.43				121.32				31.51				32.86				70.56								15.47				57.53				12.3				18.47
02-01				44.34				44.11				35.01				50.18				25.79				34.38				28.74				45.46				112.97				26.67				48.2				65.87								15.9				15.9				15.05				21.28
02-02				74.26				138.54				99.98				95.37				53.79				89.65				52.8				89.09				132.21				65.71				98.35				53.88								28.36				28.36				25.41				43.44
02-03				50.88				58.51				48.33				62.91				31.95				45.59				31.74				59.61				134.16				35.67				58.42				151.78								26.95				26.95				24.19				25.92
02-04				24.15				26.95				14.46				14.48				17.92				14.64				7.7				31.73				128.75				12.85				42.06				48.51								6.43				6.43				5.78				9.53
02-05				118.75				47.11				66.62				67.92				24.4				25.33				23.53				47.76				165.79				29.71				44.16				82.6								20.63				20.63				23.73				18.94
02-06				230.36				91.54				143.11				160.83				31.08				79.85				48.05				207.58				126.84				27.89				123.96				105.01								26.09				26.09				24.47				21.9
02-07				244.86				255.33				210.53				199.51				33.78				86.02				31.84				239.45				151.73				38.52				223.77				175.95								24.81				24.81				17.71				24.66
02-08				80.09				121.45				94.81				88.33				16.63				40.36				22.3				109.32				143.77				18.65				118.35				129.06								14.98				14.98				15.17				13.79
02-09				44.96				97.07				56.81				40.74				12.5				27.27				9.19				87.55				166.14				14.08				79.03				79.27								4.94				4.94				8.88				11.79
02-10				31.36				41.18				36.19				22.54				8.32				15.31				6.4				63.07				130.79				8.89				55.19				61.95								7.97				7.97				11.61				7.0
02-11				13.41				40.33				18.31				15.44				6.24				16.23				8.54				39.97				131.58				7.93				43.66				34.05								9.37				9.37				7.94				6.11
02-12				15.54				30.63				20.3				13.67				12.05				16.38				10.24				38.35				156.85				14.26				36.88				33.63								11.96				11.96				8.19				12.79
02-13				24.0				34.54				26.75				23.78				11.34				19.02				15.54				71.09				116.11				14.53				80.39				43.64								22.21				52.26				22.24				12.46
02-14				16.93				31.39				14.31				16.82				9.49				8.26				14.11				45.58				145.14				11.22				50.91				34.24								13.11				37.39				14.86				7.92
02-15				23.96				10.09				9.97				22.24				12.39				12.16				14.16				14.16				156.92				7.94				33.92				27.7								21.33				76.1				17.24				7.91
02-16				18.97				18.69				14.31				19.37				14.91				18.55				13.51				13.51				171.98				18.46				18.41				18.41								16.75				87.06				11.21				12.5
02-17				17.84				18.53				10.85				18.56				14.31				18.85				18.85				23.5				178.68				21.73				24.82				18.1								14.58				105.09				6.7				18.02
02-18				17.05				29.23				8.31				16.3				22.36				32.46				32.46				16.15				188.78				38.04				19.55				18.25								10.61				130.93				6.69				18.21
02-19				24.93				18.49				16.64				19.98				32.13				25.55				28.56				21.26				152.39				15.88				23.56				23.84								15.48				129.86				7.1				24.93
02-20				11.21				15.19				12.66				16.29				16.03				20.43				17.05				16.38				134.71				11.85				18.33				30.03								13.91				97.11				13.13				11.21
02-21				28.13				21.44				23.72				37.33				18.61				20.09				21.6				36.79				173.06				15.72				41.59				62.29								11.01				79.88				11.69				12.04
02-22				31.73				20.13				13.54				29.95				15.08				12.62				21.78				23.94				157.4				14.92				22.75				24.79								10.92				62.12				7.94				13.79
02-23				15.23				14.51				15.51				20.8				16.06				18.31				13.92				17.19				144.48				11.92				17.68				32.78								6.65				45.68				6.47				10.11
02-24				15.31				17.45				14.78				18.81				13.11				15.89				9.66				24.95				129.2				16.03				26.29				25.66								5.17				45.56				4.12				12.24
03-01				14.37				14.54				11.03				18.54				7.67				9.73				7.37				15.13				124.84				10.47				15.05				27.84								4.35				36.77				5.77				9.28
03-02				21.34				24.4				16.16				23.74				8.81				12.25				10.29				24.15				141.79				12.84				26.62				19.56								7.55				32.67				5.31				9.85
03-03				6.85				19.06				16.26				18.63				11.85				13.68				7.33				18.65				130.09				14.3				20.88				23.78								4.55				42.27				5.43				6.85
03-04				4.35				12.08				8.2				7.61				16.94				5.3				4.64				14.16				136.68				14.74				14.21				22.01								3.21				18.02				3.36				4.35
03-05				20.13				29.27				21.28				27.05				18.68				16.25				10.33				21.14				122.99				14.08				21.53				42.89								8.56				40.95				7.96				7.85
